date,tinbet-Amazonas,isPartial,tinbet-Apurímac,tinbet-Arequipa,tinbet-Ayacucho,tinbet-Cajamarca,tinbet-Callao,tinbet-Cuzco,tinbet-Departamento de Lima,tinbet-Huancavelica,tinbet-Huánuco,tinbet-Ica,tinbet-Junín,tinbet-La Libertad,tinbet-Lambayeque,tinbet-Loreto,tinbet-Madre de Dios,tinbet-Moquegua,tinbet-Pasco,tinbet-Piura,tinbet-Puno,tinbet-San Martín,tinbet-Tacna,tinbet-Tumbes,tinbet-Ucayali,tinbet-Áncash
2020-08-16,0,False,0,0,0,0,0,0,0,0,46,40,34,29,0,75,0,0,0,0,0,51,0,0,0,0
2020-08-23,47,False,0,0,0,0,0,0,0,0,0,0,28,40,0,47,0,0,0,0,0,47,0,0,0,0
2020-08-30,0,False,0,0,0,52,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,47,0,0,0,0
2020-09-06,0,False,0,0,0,0,0,0,0,0,0,0,28,25,0,44,0,0,0,0,0,47,0,0,0,0
2020-09-13,59,False,0,0,0,69,0,0,0,0,0,0,33,34,0,34,0,0,0,0,0,41,0,0,0,0
2020-09-20,0,False,0,0,0,66,0,0,0,0,39,0,38,39,0,38,88,0,0,0,0,51,0,0,61,0
2020-09-27,0,False,0,0,0,0,0,0,0,0,0,49,27,57,0,40,79,0,0,0,0,77,0,0,0,100
2020-10-04,0,False,0,0,0,0,0,0,0,0,0,0,24,60,0,34,0,0,0,0,0,0,0,0,0,0
2020-10-11,0,False,0,0,0,0,0,0,0,0,0,44,28,46,0,46,0,0,0,0,0,45,0,0,47,0
2020-10-18,0,False,0,0,0,0,0,0,92,0,50,0,39,42,0,45,0,0,0,0,0,60,0,0,0,0
2020-10-25,0,False,0,0,0,0,0,0,0,0,0,0,46,46,0,0,0,0,0,0,0,47,0,0,63,0
2020-11-01,74,False,0,0,0,50,0,0,0,0,43,0,42,0,0,0,0,0,0,0,0,57,0,0,0,0
2020-11-08,0,False,0,0,0,48,57,0,0,0,51,0,0,75,0,52,0,0,0,0,0,48,0,0,50,0
2020-11-15,60,False,0,0,0,61,0,0,0,0,45,0,34,63,0,55,0,0,0,0,0,38,0,0,51,0
2020-11-22,0,False,0,0,81,0,0,0,0,0,0,0,28,42,40,49,0,0,0,0,100,48,0,0,54,0
2020-11-29,0,False,0,0,0,0,0,0,0,0,0,0,26,34,0,0,0,0,0,0,0,30,0,0,0,0
2020-12-06,51,False,0,0,84,0,0,0,0,0,51,49,0,30,0,0,0,0,0,0,0,37,0,0,0,0
2020-12-13,0,False,0,0,0,0,0,0,0,0,63,0,28,28,0,36,0,0,0,0,0,51,0,0,0,0
2020-12-20,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0
2020-12-27,0,False,0,0,0,0,0,0,0,0,0,0,26,34,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,71,False,0,0,0,0,65,0,0,0,0,0,34,32,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,0,False,0,0,0,0,0,0,0,0,0,0,0,42,0,41,0,0,0,0,0,0,0,0,0,0
2021-01-17,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
2021-01-24,0,False,0,0,0,0,0,0,0,0,0,0,25,0,0,37,0,0,0,0,0,0,0,0,0,0
2021-01-31,67,False,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,58,0
2021-02-07,63,False,0,0,0,0,0,0,0,0,53,0,26,0,0,49,0,0,0,0,0,31,0,0,74,0
2021-02-14,63,False,0,0,0,63,0,0,0,0,55,0,34,36,0,50,0,0,0,0,0,60,0,0,0,0
2021-02-21,0,False,0,0,0,0,0,0,0,0,58,0,0,38,0,48,0,0,0,0,0,35,0,0,0,0
2021-02-28,0,False,0,0,0,0,0,0,0,0,78,0,29,42,0,61,0,0,0,0,0,36,0,0,0,0
2021-03-07,0,False,0,0,0,0,0,0,0,0,58,0,38,33,0,76,0,0,0,0,0,54,0,0,64,0
2021-03-14,0,False,0,0,0,46,0,0,0,0,43,59,33,37,0,54,0,0,0,0,0,49,0,0,0,64
2021-03-21,0,False,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,0,0,0,0,59,0
2021-03-28,0,False,0,0,0,0,0,0,0,88,0,0,21,27,0,44,0,0,0,0,91,0,0,0,0,0
2021-04-04,0,False,0,0,0,0,0,0,0,0,0,72,26,36,0,42,0,0,0,0,0,44,0,0,0,0
2021-04-11,0,False,0,0,0,0,0,0,0,0,40,61,31,42,0,27,0,0,0,0,0,47,0,0,48,0
2021-04-18,0,False,0,0,0,0,0,0,0,0,0,52,19,22,0,32,0,0,0,0,0,27,0,0,0,0
2021-04-25,48,False,0,0,0,0,0,0,0,0,0,42,21,37,0,40,0,0,0,0,0,32,0,0,0,56
2021-05-02,0,False,0,0,0,55,0,0,0,0,48,55,30,36,0,35,56,0,0,0,0,59,0,0,57,54
2021-05-09,0,False,0,0,0,0,0,0,0,0,57,0,0,45,0,39,0,0,0,0,0,27,0,0,0,0
2021-05-16,44,False,0,0,0,45,0,0,0,0,0,0,19,28,0,0,0,0,0,0,0,0,0,0,51,0
2021-05-23,0,False,0,0,0,0,0,0,0,0,0,0,17,21,0,0,0,0,0,0,0,30,0,0,52,0
2021-05-30,0,False,0,0,0,0,0,0,0,0,0,0,21,20,0,29,0,0,0,0,0,25,0,0,0,0
2021-06-06,0,False,0,0,0,0,0,0,0,0,42,0,30,19,0,0,52,0,0,0,0,22,0,0,0,0
2021-06-13,0,False,0,0,0,0,0,0,0,0,76,0,35,43,0,33,0,0,0,0,0,41,0,0,71,0
2021-06-20,0,False,0,0,0,73,0,0,0,0,78,0,31,34,0,57,0,0,0,0,0,61,0,0,67,65
2021-06-27,53,False,0,0,67,0,0,0,0,0,76,0,35,41,0,53,0,0,0,0,0,58,0,0,69,0
2021-07-04,0,False,0,0,0,48,0,0,0,0,72,0,59,63,0,81,0,0,0,0,0,59,0,0,97,0
2021-07-11,0,False,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,37,0,0,63,0
2021-07-18,0,False,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,44,0,0,0,0
2021-07-25,0,False,0,0,0,0,0,0,0,0,0,0,0,29,100,0,0,0,0,0,0,36,0,0,0,0
2021-08-01,0,False,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,51,0
2021-08-08,0,False,0,0,0,0,0,0,0,0,0,0,21,50,0,41,0,0,0,0,0,27,0,0,45,0
2021-08-15,0,False,0,0,0,0,62,0,0,0,57,0,0,62,0,32,100,0,0,0,0,25,0,0,0,0
2021-08-22,0,False,0,0,0,0,0,0,0,0,48,51,0,34,0,36,0,0,0,0,0,35,0,0,0,0
2021-08-29,69,False,0,0,0,0,0,0,0,0,77,47,21,44,0,36,71,0,0,0,0,0,0,0,0,0
2021-09-05,0,False,0,0,0,0,0,0,0,0,100,0,23,44,0,41,0,0,0,0,0,0,0,0,69,0
2021-09-12,0,False,0,0,0,0,0,0,0,0,78,0,0,42,0,44,0,0,0,0,0,62,0,0,0,0
2021-09-19,0,False,0,0,0,0,0,0,0,0,0,0,0,54,0,41,0,0,0,0,0,0,0,0,0,0
2021-09-26,0,False,0,0,0,0,0,0,0,0,88,0,0,45,90,0,0,0,0,0,0,35,0,0,57,0
2021-10-03,0,False,0,0,0,0,0,0,0,0,0,66,33,48,0,0,0,0,0,0,0,48,0,0,77,0
2021-10-10,0,False,0,0,0,0,0,0,0,0,57,0,28,33,0,68,0,0,0,0,0,80,0,0,0,0
2021-10-17,0,False,0,0,0,59,0,0,0,0,0,75,31,46,0,36,0,0,0,0,0,35,0,0,49,0
2021-10-24,0,False,0,0,100,0,0,0,0,0,0,0,47,26,0,41,0,0,0,0,0,47,0,0,77,0
2021-10-31,0,False,0,0,0,0,0,0,0,0,0,64,36,45,0,0,0,0,0,0,0,65,0,0,60,0
2021-11-07,0,False,0,0,0,0,0,0,0,0,63,0,19,47,0,38,0,0,0,0,0,57,0,0,56,72
2021-11-14,0,False,0,0,0,0,0,0,0,0,0,0,39,55,0,34,0,0,0,0,0,36,0,0,0,0
2021-11-21,0,False,0,0,0,50,0,0,0,0,0,0,45,45,0,59,0,0,0,0,0,57,0,0,100,0
2021-11-28,0,False,0,0,0,65,0,0,0,0,0,0,29,49,0,43,0,0,0,0,0,37,0,0,78,0
2021-12-05,0,False,0,0,0,0,0,0,0,0,0,0,49,39,0,46,0,0,0,0,0,43,0,0,50,0
2021-12-12,0,False,0,0,0,0,0,0,0,0,0,0,34,48,0,0,0,0,0,0,0,0,0,0,64,0
2021-12-19,0,False,0,0,0,0,81,0,0,0,0,0,0,36,0,0,95,0,0,0,0,40,0,0,0,0
2021-12-26,0,False,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,41,0,0,0,0
2022-01-02,0,False,0,0,0,53,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,55,0,0,0,0
2022-01-09,0,False,0,0,0,0,0,0,0,0,0,0,21,28,0,0,0,0,0,95,0,70,0,0,0,0
2022-01-16,0,False,0,0,0,62,0,0,0,0,0,0,33,0,0,64,0,0,0,0,0,65,0,100,0,0
2022-01-23,0,False,0,0,0,37,0,0,0,0,0,0,31,43,0,53,0,0,0,57,0,57,0,0,0,0
2022-01-30,0,False,0,0,0,0,0,0,0,0,44,0,38,81,0,54,0,0,0,0,0,73,0,0,60,0
2022-02-06,0,False,0,0,0,67,0,0,0,0,0,0,27,34,36,0,0,0,0,0,0,37,100,0,0,0
2022-02-13,0,False,0,100,0,45,0,0,0,0,0,0,27,54,0,25,0,0,0,80,0,44,79,0,0,0
2022-02-20,0,False,0,0,0,35,0,0,0,0,30,37,24,51,0,32,0,0,0,0,62,33,0,0,33,0
2022-02-27,0,False,0,0,0,0,0,0,0,0,0,63,13,45,0,0,66,0,0,0,100,32,0,0,44,0
2022-03-06,0,False,0,0,0,35,0,0,45,0,30,0,24,78,0,37,0,0,0,0,53,43,0,0,35,0
2022-03-13,0,False,0,0,0,40,0,0,0,0,29,41,28,40,0,39,0,0,0,0,0,50,0,0,0,0
2022-03-20,0,False,0,0,0,62,0,0,41,0,33,0,26,59,0,40,0,0,0,0,0,45,0,0,43,0
2022-03-27,0,False,0,0,0,41,0,0,0,0,0,0,23,18,28,42,0,0,0,42,0,35,0,0,28,0
2022-04-03,0,False,0,0,0,35,0,0,0,0,0,29,30,42,0,45,52,0,0,44,0,31,0,0,32,0
2022-04-10,0,False,0,0,0,41,0,0,53,0,51,0,36,45,0,45,0,0,0,53,0,44,0,0,31,0
2022-04-17,28,False,0,0,0,27,0,0,35,0,24,0,20,21,0,36,0,0,0,32,0,37,0,0,0,0
2022-04-24,0,False,0,0,0,49,0,0,0,0,0,29,26,34,0,29,0,0,0,41,39,31,0,0,42,41
2022-05-01,0,False,0,0,0,30,35,0,61,0,36,0,31,23,0,51,0,0,0,0,0,35,0,0,35,41
2022-05-08,0,False,0,0,0,45,0,0,0,0,33,0,24,45,0,21,0,0,0,0,0,36,0,0,0,0
2022-05-15,0,False,0,0,52,34,0,0,55,0,0,40,28,23,0,29,0,0,0,0,0,23,0,0,33,0
2022-05-22,0,False,0,0,0,0,0,0,0,0,39,31,20,40,24,45,0,0,0,0,0,38,0,0,0,40
2022-05-29,0,False,0,0,0,32,0,0,46,0,0,38,33,67,0,39,0,0,0,0,0,26,0,0,40,0
2022-06-05,0,False,0,0,0,60,0,0,57,0,50,27,38,55,29,66,48,0,0,0,0,34,0,0,0,0
2022-06-12,0,False,0,0,0,64,0,0,0,0,60,53,40,61,0,48,0,0,0,0,0,32,0,0,53,0
2022-06-19,0,False,0,0,0,31,0,0,0,0,38,0,31,45,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-26,0,False,0,0,0,0,0,59,0,0,28,30,28,33,0,35,0,0,0,0,0,25,0,0,0,0
2022-07-03,0,False,0,0,0,0,0,0,46,0,29,39,32,44,0,32,0,0,0,0,0,15,0,0,0,0
2022-07-10,0,False,0,0,0,39,0,0,0,0,25,34,44,24,0,23,0,0,0,0,0,20,0,0,0,0
2022-07-17,0,False,0,0,0,32,0,0,0,0,0,0,30,32,0,0,41,0,0,0,0,15,0,0,42,40
2022-07-24,0,False,0,0,0,33,0,0,0,0,36,55,49,61,0,0,0,0,0,0,0,17,0,0,0,55
2022-07-31,0,False,0,0,0,35,51,0,0,0,33,0,33,39,0,0,0,0,0,0,0,29,0,0,0,0
2022-08-07,43,False,0,0,0,27,57,0,0,0,35,48,37,36,0,37,0,0,0,0,0,24,0,0,0,0
2022-08-14,36,False,0,0,0,0,35,0,0,0,0,32,26,43,0,24,0,0,0,0,0,16,0,0,30,0
2022-08-21,36,False,0,0,0,44,30,0,0,0,0,37,38,29,0,0,0,0,0,0,0,17,0,0,0,0
2022-08-28,33,False,0,0,0,47,32,0,0,0,44,0,52,44,0,29,0,0,0,0,0,33,0,0,0,0
2022-09-04,27,False,0,0,0,0,57,0,0,0,31,32,54,40,0,27,45,82,0,0,0,28,0,0,48,0
2022-09-11,32,False,0,0,46,0,41,0,55,0,43,0,42,52,0,44,49,0,0,0,0,38,0,0,37,0
2022-09-18,33,False,0,0,0,47,36,0,0,0,45,0,34,41,0,46,45,0,0,0,0,29,0,0,37,0
2022-09-25,0,False,0,0,40,0,57,0,0,0,41,0,40,51,0,50,0,0,0,0,0,21,0,0,37,0
2022-10-02,27,False,0,0,0,43,70,0,0,0,59,0,35,57,0,26,0,0,0,0,0,36,0,0,37,0
2022-10-09,31,False,0,0,0,37,29,0,54,0,38,36,34,61,0,30,0,0,0,0,0,44,0,0,49,0
2022-10-16,0,False,0,0,47,37,45,0,48,0,49,0,36,43,0,41,0,0,0,0,0,26,0,0,69,0
2022-10-23,0,False,0,0,0,29,40,0,0,0,44,30,46,48,0,46,0,0,0,0,0,26,0,0,75,0
2022-10-30,29,False,0,0,0,34,39,0,0,0,33,36,42,69,0,39,68,0,0,0,0,47,0,0,34,53
2022-11-06,0,False,0,0,0,30,47,60,47,0,57,0,32,58,0,51,58,0,0,0,0,44,0,0,0,0
2022-11-13,0,False,0,0,0,41,44,0,0,0,39,30,30,40,0,21,50,0,0,0,0,27,0,0,51,0
2022-11-20,38,False,0,100,40,80,89,60,46,0,100,49,68,99,26,72,71,0,60,0,0,51,0,0,74,52
2022-11-27,56,False,0,87,56,87,85,0,70,34,97,50,100,100,32,100,77,0,0,0,47,67,0,67,80,0
2022-12-04,44,False,0,0,88,79,71,51,73,39,89,0,95,87,0,54,67,0,0,0,0,66,0,0,55,42
2022-12-11,38,False,0,0,38,40,61,0,0,43,89,0,58,54,26,44,49,0,0,0,0,56,0,0,61,40
2022-12-18,0,False,0,0,0,0,44,0,0,0,0,0,47,53,0,54,45,100,0,0,0,27,0,0,0,0
2022-12-25,0,False,0,0,0,46,0,0,0,0,0,0,28,26,0,0,0,0,0,0,0,25,0,0,49,0
2023-01-01,41,False,0,0,62,37,41,83,0,0,0,41,44,63,0,0,0,0,0,0,0,28,0,0,0,53
2023-01-08,0,False,0,0,0,46,49,73,0,0,46,0,36,46,0,29,0,0,0,0,0,32,0,0,0,0
2023-01-15,0,False,0,0,0,0,0,0,58,0,47,0,36,41,0,33,0,0,0,0,0,22,0,0,44,0
2023-01-22,32,False,0,0,49,0,35,0,0,0,0,0,32,54,0,36,0,0,0,0,0,38,0,0,0,0
2023-01-29,0,False,0,0,0,36,41,0,93,0,0,45,23,53,0,0,0,0,0,0,0,40,0,0,45,0
2023-02-05,0,False,0,0,0,35,52,72,0,0,31,0,41,38,0,0,0,0,0,0,0,31,0,0,50,0
2023-02-12,0,False,0,0,0,54,50,0,0,0,43,44,48,54,0,31,0,0,0,0,0,37,0,0,0,0
2023-02-19,0,False,0,0,0,0,45,0,63,0,41,44,56,91,0,47,60,0,0,0,0,37,0,0,69,0
2023-02-26,41,False,0,0,0,57,72,74,51,0,0,0,49,44,38,25,0,0,0,52,0,37,0,0,56,0
2023-03-05,0,False,0,0,0,60,46,0,63,0,44,0,35,45,0,50,55,0,0,0,0,38,0,0,68,0
2023-03-12,0,False,0,0,48,33,65,71,67,0,33,38,61,68,0,40,0,0,0,0,0,29,0,0,83,0
2023-03-19,52,False,0,0,0,43,57,68,0,0,49,0,59,52,0,46,0,0,0,0,0,35,0,0,44,0
2023-03-26,0,False,0,0,0,0,58,58,48,0,37,0,47,50,0,0,0,0,0,0,0,26,0,0,38,0
2023-04-02,32,False,0,0,0,32,62,0,0,0,43,0,49,50,0,32,0,0,0,0,0,35,0,0,0,0
2023-04-09,0,False,0,0,0,35,65,50,73,0,0,0,32,40,0,0,52,0,0,0,0,15,0,0,60,0
2023-04-16,34,False,0,0,0,25,82,0,0,0,34,0,40,33,0,47,0,0,0,0,0,33,0,0,0,0
2023-04-23,0,False,0,0,0,25,63,71,0,0,31,0,41,45,0,34,0,0,0,0,55,41,0,0,58,0
2023-04-30,0,False,0,0,0,36,100,76,0,0,31,0,38,58,26,26,0,0,0,0,54,31,0,0,0,0
2023-05-07,37,False,0,0,0,39,57,0,47,0,55,0,32,55,0,29,54,0,0,0,0,29,0,0,37,43
2023-05-14,0,False,0,0,0,42,53,55,0,0,47,0,61,43,0,34,44,0,0,0,0,44,0,0,52,0
2023-05-21,0,False,0,0,0,0,60,0,0,0,55,37,42,37,0,0,0,0,0,0,0,28,0,0,37,0
2023-05-28,0,False,0,0,0,30,61,52,0,0,36,0,21,37,0,32,0,0,0,0,0,35,0,0,0,0
2023-06-04,0,False,0,0,0,57,62,0,0,0,0,0,41,39,0,37,0,0,0,0,0,22,0,0,38,0
2023-06-11,0,False,0,0,0,0,48,0,0,0,0,0,35,26,0,0,0,0,0,0,0,15,0,0,41,0
2023-06-18,0,False,0,0,0,0,62,0,0,0,54,0,35,31,0,29,0,0,0,0,0,20,0,0,46,0
2023-06-25,0,False,0,0,0,43,52,0,0,0,41,0,39,38,0,30,0,0,0,0,0,23,0,0,52,0
2023-07-02,0,False,0,0,0,0,66,100,0,0,41,0,27,36,0,33,0,0,0,0,0,0,0,0,35,0
2023-07-09,0,False,0,0,46,0,49,0,64,0,29,29,45,37,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-16,0,False,0,0,0,0,37,0,0,0,32,0,32,23,0,36,0,0,0,0,0,34,0,0,0,0
2023-07-23,0,False,0,0,0,37,50,0,0,0,32,0,31,32,0,0,0,0,0,0,0,0,0,0,48,0
2023-07-30,0,False,0,0,0,0,57,67,0,0,37,0,33,37,0,27,0,0,0,0,0,33,0,0,0,0
2023-08-06,0,False,0,0,0,0,56,61,0,0,47,0,36,31,0,43,0,0,0,0,0,21,0,0,47,57
2023-08-13,0,False,0,0,0,0,39,71,0,0,64,0,33,38,0,24,0,0,0,0,0,20,0,0,33,0
2023-08-20,0,False,0,0,0,0,64,70,0,0,30,0,32,42,0,0,0,0,0,0,0,18,0,0,0,0
2023-08-27,30,False,0,0,0,0,69,0,0,0,34,62,34,30,0,30,66,0,0,0,0,21,0,0,37,0
2023-09-03,31,False,0,0,0,39,43,0,54,0,0,35,51,62,0,46,0,0,0,0,0,29,0,0,68,54
2023-09-10,0,False,0,0,0,51,64,0,51,0,26,0,49,40,27,60,41,0,0,0,0,28,0,0,44,0
2023-09-17,34,False,0,0,0,28,96,0,52,0,53,47,43,57,0,37,41,0,0,0,0,28,0,0,35,0
2023-09-24,39,False,0,0,0,34,70,74,0,0,48,35,53,60,0,34,42,0,0,0,0,20,0,0,62,0
2023-10-01,0,False,0,0,0,37,51,0,0,0,32,0,53,62,0,52,44,0,0,0,0,21,0,0,43,0
2023-10-08,0,False,0,0,0,32,50,64,0,0,31,38,48,60,0,40,0,0,0,0,0,30,0,0,48,0
2023-10-15,0,False,0,0,0,37,67,71,60,0,33,33,46,41,0,44,0,0,0,0,0,0,0,0,33,0
